INFO 2020-10-29 16:32:16,107 打开www.baidu.com
INFO 2020-10-29 16:47:17,150 登录功能开始
INFO 2020-10-29 16:47:17,263 输入用户名
INFO 2020-10-29 16:47:17,344 输入密码
INFO 2020-10-29 16:47:17,791 单击登录
INFO 2020-10-29 16:47:19,340 切换框架
INFO 2020-10-29 16:47:20,465 点击客户信息
INFO 2020-10-29 16:47:20,688 切换框架
INFO 2020-10-29 16:47:21,253 点击添加
INFO 2020-10-29 16:47:21,322 添加姓名
INFO 2020-10-29 16:47:21,398 添加出生日期
INFO 2020-10-29 16:47:21,462 添加创建人
INFO 2020-10-29 16:47:21,533 添加email
INFO 2020-10-29 16:47:21,712 点击提交
INFO 2020-10-29 16:47:35,535 登录功能开始
INFO 2020-10-29 16:47:35,605 输入用户名
INFO 2020-10-29 16:47:35,673 输入密码
INFO 2020-10-29 16:47:36,386 单击登录
INFO 2020-10-29 16:47:38,506 点击客户信息
INFO 2020-10-29 16:47:40,136 点击编辑
INFO 2020-10-29 16:47:40,251 修改手机号
INFO 2020-10-29 16:47:41,544 点击提交
